"date","eugene","springfield"
2015-12-22,0.23,0.59
2015-12-23,0.55,0.65
2015-12-24,0.32,0.66
2015-12-25,0.21,0.34
2015-12-26,0.02,0.01
2015-12-27,0,0.02
2015-12-28,0.81,0.8
2015-12-29,0.05,0.24
2015-12-31,0.02,0.02
2016-01-01,0,0
2016-01-02,0,0
2016-01-03,0.04,0.03
2016-01-10,0.02,0.02
2016-01-12,0.36,0.16
2016-01-13,0.2,0.24
2016-01-14,0.55,0.55
2016-01-15,0.33,0.48
2016-01-16,0.26,0.26
2016-01-19,0.41,0.3
2016-01-20,0.82,0.93
2016-01-21,0.02,0.03
2016-01-22,0.26,0.25
2016-01-23,0.26,0.21
2016-01-24,0.1,0.15
2016-01-25,0.11,0.18
2016-01-26,0.05,0.02
2016-01-27,0.02,0.06
2016-02-01,0.13,0.12
2016-02-04,0.24,0.2
2016-02-05,0.01,0
2016-02-06,0.16,0.3
2016-02-07,0.03,0.05
2016-02-08,0.01,0.02
2016-02-09,0.01,0.02
2016-02-10,0,0
2016-02-12,0.31,0.14
2016-02-13,0.29,0.5
2016-02-14,0.31,0.4
2016-02-22,0.11,0.11
2016-02-24,0.01,0
2016-03-01,0.13,0.12
2016-03-02,0.12,0.14
2016-03-03,0.26,0.24
2016-03-04,0.02,0.02
2016-03-05,0.12,0.15
2016-03-06,0.26,0.39
2016-03-07,0.11,0.14
2016-03-08,0.11,0.12
2016-03-09,0.25,0.22
2016-03-10,0.35,0.54
2016-03-11,0.02,0.07
2016-03-12,0.32,0.42
2016-03-13,0.55,0.41
2016-03-16,0.13,0.24
2016-03-17,0.01,0.03
2016-03-18,0,0
2016-03-19,0.01,0
2016-03-20,0.2,0.03
2016-03-21,0.38,0.51
2016-03-25,0.04,0.02
2016-03-26,0.12,0.11
2016-03-27,0.18,0.3
2016-03-28,0.05,0.13
2016-03-29,0.01,0.02
2016-04-01,0,0
2016-04-02,0,0
2016-04-03,0,0
2016-04-04,0.22,0.45
2016-04-05,0.14,0.28
2016-04-06,0,0
2016-04-07,0,0
2016-04-08,0,0
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,0,0
2016-04-12,0,0
2016-04-13,0.34,0.29
2016-04-14,0.35,0.59
2016-04-15,0.65,0.76
2016-04-16,0.01,0
2016-04-17,0,0
2016-04-18,0,0
2016-04-20,0,0
2016-04-21,0,0
2016-04-22,0.65,0.52
2016-05-01,0.01,0
2016-05-11,0,0
2016-05-12,0,0
2016-05-13,0,0
2016-05-26,0,0
2016-05-30,0,0
2016-05-31,0,0
2016-06-01,0,0
2016-06-02,0,0
2016-06-03,0,0
2016-06-04,0,0
2016-06-05,0,0
2016-06-06,0,0
2016-06-11,0.01,0.05
2016-06-12,0,0
2016-06-14,0,0.04
2016-06-15,0.19,0.38
2016-06-16,0.06,0.48
2016-06-17,0,0.26
2016-06-19,0.01,0.39
2016-06-20,0,0
2016-06-21,0,0
2016-06-22,0,0
2016-06-23,0,0
2016-06-24,0.03,0.02
2016-06-25,0,0
2016-06-26,0,0
2016-06-27,0,0
2016-06-29,0,0
2016-06-30,0,0
2016-07-01,0,0
2016-07-02,0,0
2016-07-05,0,0
2016-07-12,0.01,0
2016-07-14,0,0
2016-07-15,0,0
2016-07-18,0,0
2016-07-26,0,0
2016-07-27,0,0
2016-09-03,0.01,0.04
2016-09-04,0,0
2016-09-06,0.05,0
2016-09-07,0.04,0.06
2016-10-05,0.44,0.41
2016-10-06,0.03,0.42
2016-10-07,0.25,0.08
2016-10-10,0.12,0.19
2016-10-11,0.01,0.07
2016-10-12,0,0.02
2016-10-13,0.28,0.31
2016-10-14,0.75,1.54
2016-10-15,0.49,0.73
2016-10-16,0.61,0.76
2016-10-17,0.63,0.98
2016-10-18,1.58,1.9
2016-10-19,0.31,0.26
2016-10-20,0.02,0.03
2016-10-21,1.2,0.91
2016-10-22,0.03,0.25
2016-10-23,0.01,0.03
2016-10-24,0,0
2016-10-25,0.12,0.18
2016-10-26,0.76,0.6
2016-10-27,0.5,0.56
2016-10-28,0.41,0.61
2016-10-29,0.18,0.16
2016-10-30,0.08,0.08
2016-10-31,0.31,0.44
2016-11-01,0.02,0.03
2016-11-06,0.74,0.77
2016-11-07,0.02,0.02
2016-11-08,0.01,0
2016-11-09,0,0
2016-11-10,0.01,0
2016-11-11,0.01,0.02
2016-11-12,0.04,0.04
2016-11-15,0.71,0.9
2016-11-16,0.3,0.36
2016-11-17,0,0.11
2016-11-18,0.01,0
2016-11-19,0.01,0.04
2016-11-20,0.04,0.11
2016-11-22,0.03,0.03
2016-11-23,0.42,0.69
2016-11-24,0.02,0.07
2016-11-25,0.82,0.7
2016-11-26,0.08,0.2
2016-11-27,0.23,0.24
2016-11-28,0.15,0.29
2016-11-29,0.06,0.1
2016-11-30,0.28,0.31
2016-12-01,0.06,0.17
2016-12-02,0.02,0.03
2016-12-20,0.32,0.53
2016-12-21,0.01,0.12
2016-12-23,0.24,0.22
2016-12-24,0.17,0.29
2017-01-01,0.13,0.2
2017-01-17,0.01,0.03
2017-01-18,0.42,0.46
2017-01-22,0.29,0.49
2017-01-28,0.01,0
2017-01-29,0.01,0
2017-01-30,0,0
2017-01-31,0.03,0.01
2017-02-01,0.01,0.05
2017-02-10,0.25,0.53
2017-02-11,0.06,0.09
2017-02-17,0.05,0.4
2017-02-18,0.22,0.04
2017-02-19,0.15,0.25
2017-02-20,0.45,0.38
2017-02-21,1.22,1.4
2017-02-23,0.12,0.1
2017-02-24,0.11,0.12
2017-02-25,0.02,0.06
2017-03-07,0.47,0.52
2017-03-11,0.06,0
2017-03-12,0.02,0.07
2017-03-15,0.02,0.03
2017-03-16,0.37,0.38
2017-03-24,0.84,0.59
2017-03-25,0.37,0.71
2017-03-26,0.12,0.12
2017-03-28,0.05,0.13
2017-03-29,0.1,0.08
2017-04-01,0.31,0
2017-04-02,0.03,0.02
2017-04-06,0.1,0.03
2017-04-07,0.13,0.17
2017-04-08,0.16,0.34
2017-04-09,0.11,0.18
2017-04-11,0.16,0.02
2017-04-12,0.28,0.2
2017-04-13,0.06,0.18
2017-04-29,0.01,0.01
2017-05-05,0.01,0
2017-05-06,0.2,0.39
2017-05-07,0.02,0
2017-05-09,0,0
2017-05-13,0.17,0.41
2017-05-14,0,0.51
2017-05-16,0.24,0.42
2017-05-17,0.16,0.26
2017-05-18,0.01,0.01
2017-10-12,0.31,0.4
2017-10-13,0.43,0.59
